"Reporting starts","Reporting ends","Ad name","Ad delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (EUR)",Impressions,Reach,Ends,"Attribution setting",Bid,"Bid Type","Last significant edit","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name","Results ROAS","Result ROAS indicator","Website purchases conversion value","Website purchase ROAS (return on advertising spend)"
2025-12-01,2025-12-31,"Conversione - Riprova sociale v2",not_delivering,,,,70,Daily,11.99,1632,1096,2025-12-31,"7-day click, 1-day view or 1-day engaged view",0,ABSOLUTE_OCPM,2025-12-17T19:42:51+0100,-,-,-,"Conversione Neogela Dicembre - Audience Broad - promo natalizia",,,,
2025-12-01,2025-12-31,"Conversione - Riprova sociale v3",not_delivering,1,actions:offsite_conversion.fb_pixel_purchase,14.25,70,Daily,14.25,2072,1284,2025-12-31,"7-day click, 1-day view or 1-day engaged view",0,ABSOLUTE_OCPM,2025-12-17T19:42:51+0100,-,-,-,"Conversione Neogela Dicembre - Audience Broad - promo natalizia",8.63157895,action_values:offsite_conversion.fb_pixel_purchase,123,8.631579
2025-12-01,2025-12-31,"Conversione - barattolo 400g",not_delivering,2,actions:offsite_conversion.fb_pixel_purchase,13.59,70,Daily,27.18,3769,1907,2025-12-31,"7-day click, 1-day view or 1-day engaged view",0,ABSOLUTE_OCPM,2025-12-17T19:42:51+0100,-,-,-,"Conversione Neogela Dicembre - Audience Broad - promo natalizia",4.9120677,action_values:offsite_conversion.fb_pixel_purchase,133.51,4.912068
2025-12-01,2025-12-31,"Conversione - Neogela integratore",not_delivering,3,actions:offsite_conversion.fb_pixel_purchase,30.34,70,Daily,91.02,13002,6007,2025-12-31,"7-day click, 1-day view or 1-day engaged view",0,ABSOLUTE_OCPM,2025-12-17T19:42:51+0100,-,-,-,"Conversione Neogela Dicembre - Audience Broad - promo natalizia",2.45001099,action_values:offsite_conversion.fb_pixel_purchase,223,2.450011
2025-12-01,2025-12-31,"Conversione - Timeline utilizzo prodotto versione 2",not_delivering,1,actions:offsite_conversion.fb_pixel_purchase,10.4,70,Daily,10.4,1959,1138,2025-12-31,"7-day click, 1-day view or 1-day engaged view",0,ABSOLUTE_OCPM,2025-12-17T19:42:51+0100,-,-,-,"Conversione Neogela Dicembre - Audience Broad - promo natalizia",11.82692308,action_values:offsite_conversion.fb_pixel_purchase,123,11.826923
2025-12-01,2025-12-31,"Conversione - Pack ossa sane",not_delivering,,,,70,Daily,11.01,1267,791,2025-12-31,"7-day click, 1-day view or 1-day engaged view",0,ABSOLUTE_OCPM,2025-12-17T19:42:51+0100,-,-,-,"Conversione Neogela Dicembre - Audience Broad - promo natalizia",,,,
2025-12-01,2025-12-31,"Conversione - Timeline utilizzo prodotto",not_delivering,4,actions:offsite_conversion.fb_pixel_purchase,15.22,70,Daily,60.88,11490,4736,2025-12-31,"7-day click, 1-day view or 1-day engaged view",0,ABSOLUTE_OCPM,2025-12-17T19:42:51+0100,-,-,-,"Conversione Neogela Dicembre - Audience Broad - promo natalizia",7.45154402,action_values:offsite_conversion.fb_pixel_purchase,453.65,7.451544
2025-12-01,2025-12-31,"Conversione - Riprova sociale v1",not_delivering,1,actions:offsite_conversion.fb_pixel_purchase,1.88,70,Daily,1.88,310,253,2025-12-31,"7-day click, 1-day view or 1-day engaged view",0,ABSOLUTE_OCPM,2025-12-17T19:42:51+0100,-,-,-,"Conversione Neogela Dicembre - Audience Broad - promo natalizia",47.81914894,action_values:offsite_conversion.fb_pixel_purchase,89.9,47.819149
2025-12-01,2025-12-31,"Conversione - Riprova sociale v3 versione 2",not_delivering,,,,70,Daily,3.52,542,412,2025-12-31,"7-day click, 1-day view or 1-day engaged view",0,ABSOLUTE_OCPM,2025-12-17T19:42:51+0100,-,-,-,"Conversione Neogela Dicembre - Audience Broad - promo natalizia",,,,
2025-12-01,2025-12-31,"Conversione - Bundle barattolo e bustine",not_delivering,,,,70,Daily,11.63,1789,1029,2025-12-31,"7-day click, 1-day view or 1-day engaged view",0,ABSOLUTE_OCPM,2025-12-17T19:42:51+0100,-,-,-,"Conversione Neogela Dicembre - Audience Broad - promo natalizia",,,,
2025-12-01,2025-12-31,"Conversione - video promo natalizia",not_delivering,12,actions:offsite_conversion.fb_pixel_purchase,27,70,Daily,324,56007,16810,2025-12-31,"7-day click, 1-day view or 1-day engaged view",0,ABSOLUTE_OCPM,2025-12-17T19:42:51+0100,Average,Average,Average,"Conversione Neogela Dicembre - Audience Broad - promo natalizia",3.72049383,action_values:offsite_conversion.fb_pixel_purchase,1205.44,3.720494
2025-12-01,2025-12-31,"Conversione - grafica borsa acqua calda",not_delivering,5,actions:offsite_conversion.fb_pixel_purchase,20.808,70,Daily,104.04,17327,4719,2025-12-31,"7-day click, 1-day view or 1-day engaged view",0,ABSOLUTE_OCPM,2025-12-17T19:42:51+0100,-,-,-,"Conversione Neogela Dicembre - Audience Broad - promo natalizia",3.68896578,action_values:offsite_conversion.fb_pixel_purchase,383.8,3.688966
2025-12-01,2025-12-31,"Conversione - grafica spatola",not_delivering,,,,70,Daily,30.69,5358,2289,2025-12-31,"7-day click, 1-day view or 1-day engaged view",0,ABSOLUTE_OCPM,2025-12-17T19:42:51+0100,-,-,-,"Conversione Neogela Dicembre - Audience Broad - promo natalizia",,,,
2025-12-01,2025-12-31,"Conversione - grafica borsa acqua calda e barattolo",not_delivering,1,actions:offsite_conversion.fb_pixel_purchase,44.19,70,Daily,44.19,8870,3514,2025-12-31,"7-day click, 1-day view or 1-day engaged view",0,ABSOLUTE_OCPM,2025-12-17T19:42:51+0100,-,-,-,"Conversione Neogela Dicembre - Audience Broad - promo natalizia",2.78343517,action_values:offsite_conversion.fb_pixel_purchase,123,2.783435
2025-12-01,2025-12-31,"Conversione - grafica borsa acqua calda pack ossa sane",not_delivering,2,actions:offsite_conversion.fb_pixel_purchase,41.015,70,Daily,82.03,17688,5635,2025-12-31,"7-day click, 1-day view or 1-day engaged view",0,ABSOLUTE_OCPM,2025-12-17T19:42:51+0100,-,-,-,"Conversione Neogela Dicembre - Audience Broad - promo natalizia",2.05083506,action_values:offsite_conversion.fb_pixel_purchase,168.23,2.050835
2025-12-01,2025-12-31,"Conversione - grafica borsa acqua calda scatola bustine",not_delivering,1,actions:offsite_conversion.fb_pixel_purchase,17.08,70,Daily,17.08,3446,1787,2025-12-31,"7-day click, 1-day view or 1-day engaged view",0,ABSOLUTE_OCPM,2025-12-17T19:42:51+0100,-,-,-,"Conversione Neogela Dicembre - Audience Broad - promo natalizia",19.67213115,action_values:offsite_conversion.fb_pixel_purchase,336,19.672131
2025-12-01,2025-12-31,"Conversione - grafica spatola scatola bustine",not_delivering,1,actions:offsite_conversion.fb_pixel_purchase,93.56,70,Daily,93.56,19347,6079,2025-12-31,"7-day click, 1-day view or 1-day engaged view",0,ABSOLUTE_OCPM,2025-12-17T19:42:51+0100,-,-,-,"Conversione Neogela Dicembre - Audience Broad - promo natalizia",1.88114579,action_values:offsite_conversion.fb_pixel_purchase,176,1.881146
2025-12-01,2025-12-31,"Conversione - grafica spatola pack ossa sane",not_delivering,,,,70,Daily,20.17,4518,2241,2025-12-31,"7-day click, 1-day view or 1-day engaged view",0,ABSOLUTE_OCPM,2025-12-17T19:42:51+0100,-,-,-,"Conversione Neogela Dicembre - Audience Broad - promo natalizia",,,,
2025-12-01,2025-12-31,"Conversione - grafica spatola barattolo",not_delivering,1,actions:offsite_conversion.fb_pixel_purchase,34.05,70,Daily,34.05,6201,2455,2025-12-31,"7-day click, 1-day view or 1-day engaged view",0,ABSOLUTE_OCPM,2025-12-17T19:42:51+0100,-,-,-,"Conversione Neogela Dicembre - Audience Broad - promo natalizia",3.81791483,action_values:offsite_conversion.fb_pixel_purchase,130,3.817915
